;file;rule;runtime_profile;runtime_multiprofile;time_gains;time_gains_percent;length_gains;length_gains_percent;num_voters;num_sat;avg_vote_length;avg_vote_length_cat
354;poland_warszawa_2019_srodmiescie-poludniowe.pb;greedy_welfare;0.014191865921020508;0.00659942626953125;0.007592439651489258;0.5349853002939942;611;0.6541755888650964;934;323;5.06423982869379;5
355;poland_warszawa_2017_ursus-polnocny.pb;greedy_welfare;0.01585245132446289;0.003922939300537109;0.011929512023925781;0.7525342156715296;938;0.8100172711571676;1158;220;2.7702936096718482;3
356;poland_warszawa_2017_grochow-centrum.pb;greedy_welfare;0.013080596923828125;0.004691362380981445;0.00838923454284668;0.6413495188101488;597;0.7227602905569007;826;229;3.2445520581113803;3
357;poland_warszawa_2021_bielany.pb;greedy_welfare;1.2252912521362305;1.8948802947998047;-0.6695890426635742;-0.5464733723481507;1674;0.2048458149779736;8172;6498;10.465369554576602;10
358;poland_lodz_2022_zlotno.pb;greedy_welfare;0.04701375961303711;0.008371353149414062;0.03864240646362305;0.8219382321618743;2975;0.8618192352259559;3452;477;2.205677867902665;2
359;poland_warszawa_2018_wawrzyszew.pb;greedy_welfare;0.025292158126831055;0.005736589431762695;0.01955556869506836;0.7731870327950756;1533;0.8215434083601286;1866;333;6.10075026795284;6
360;poland_warszawa_2017_aleksandrow.pb;greedy_welfare;0.002325773239135742;0.0001068115234375;0.002218961715698242;0.9540748334187596;407;0.9644549763033176;422;15;1.457345971563981;1
361;poland_warszawa_2017_plac-wojska-polskiego.pb;greedy_welfare;0.00013518333435058594;0.00014328956604003906;-8.106231689453125e-06;-0.059964726631393406;17;0.6296296296296297;27;10;1.7407407407407407;2
362;poland_lodz_2020_retkinia-zachod-smulsko.pb;greedy_welfare;0.03615379333496094;0.009198188781738281;0.026955604553222656;0.7455816407280401;2110;0.7962264150943397;2650;540;2.66188679245283;3
363;poland_warszawa_2019_sadyba-stegny.pb;greedy_welfare;0.08057904243469238;0.0636749267578125;0.016904115676879883;0.20978303000535548;1068;0.48391481649297685;2207;1139;6.476212052560037;6
364;poland_warszawa_2019_okecie.pb;greedy_welfare;0.02192211151123047;0.016508102416992188;0.005414009094238281;0.24696567625179444;414;0.5233881163084703;791;377;6.145385587863464;6
365;poland_wroclaw_2015_from-500.pb;greedy_welfare;24.542436122894287;0.026122331619262695;24.516313791275024;0.9989356259709322;127645;0.998998223411832;127773;128;1.0;1
366;poland_lodz_2022_teofilow-wielkopolska.pb;greedy_welfare;0.42515110969543457;0.047071218490600586;0.378079891204834;0.8892835572643313;15339;0.9146145131476955;16771;1432;3.2105420070359547;3
367;poland_warszawa_2017_nowe-wlochy.pb;greedy_welfare;0.016932010650634766;0.010484695434570312;0.006447315216064453;0.3807767044974514;487;0.5276273022751896;923;436;4.869989165763814;5
368;poland_warszawa_2017_rejon-e.pb;greedy_welfare;0.011363506317138672;0.006966352462768555;0.004397153854370117;0.38695396752129574;360;0.5504587155963303;654;294;5.466360856269113;5
369;poland_lodz_2022_wzniesien-lodzkich.pb;greedy_welfare;0.0025997161865234375;3.8623809814453125e-05;0.0025610923767089844;0.9851430667644901;777;0.9910714285714286;784;7;1.2589285714285714;1
370;poland_wroclaw_2017_rejon-nr-6-250.pb;greedy_welfare;0.1492609977722168;0.0003914833068847656;0.14886951446533203;0.9973771895355932;8636;0.9980353634577603;8653;17;1.0;1
371;poland_warszawa_2021_praga-poludnie.pb;greedy_welfare;1.2869222164154053;2.064157724380493;-0.7772355079650879;-0.6039490950199;1462;0.1383421650264951;10568;9106;11.144492808478425;11
372;poland_warszawa_2019_subunit-wawer.pb;greedy_welfare;0.002158641815185547;0.00014257431030273438;0.0020160675048828125;0.9339518444886238;271;0.9442508710801394;287;16;2.5714285714285716;3
373;poland_warszawa_2019_radosc.pb;greedy_welfare;0.0010602474212646484;0.00017881393432617188;0.0008814334869384766;0.8313469754890938;159;0.8594594594594595;185;26;2.9783783783783786;3
374;poland_zabrze_2021_mikulczyce.pb;greedy_welfare;0.0077970027923583984;2.7179718017578125e-05;0.00776982307434082;0.9965140812769471;1906;0.9984284965950759;1909;3;1.0;1
375;poland_warszawa_2018_kamionek.pb;greedy_welfare;0.014272212982177734;0.0017132759094238281;0.012558937072753906;0.879957234973773;1107;0.9036734693877551;1225;118;2.67265306122449;3
376;poland_warszawa_2018_rejon-2.pb;greedy_welfare;0.17382407188415527;0.14226651191711426;0.031557559967041016;0.18154884778025737;1864;0.46658322903629534;3995;2131;5.195744680851064;5
377;poland_warszawa_2018_sadul.pb;greedy_welfare;0.0003161430358886719;2.2649765014648438e-05;0.00029349327087402344;0.9283559577677225;88;0.967032967032967;91;3;1.7912087912087913;2
378;poland_warszawa_2022_targowek.pb;greedy_welfare;0.4641423225402832;0.6482305526733398;-0.18408823013305664;-0.39662022012026177;1129;0.22854251012145754;4940;3811;9.43157894736842;9
379;poland_warszawa_2023_targowek.pb;greedy_welfare;0.48240208625793457;0.7476732730865479;-0.2652711868286133;-0.5498964336708445;806;0.17222222222222228;4680;3874;10.40042735042735;10
380;poland_warszawa_2018_obszar-1-zoliborz-centralny.pb;greedy_welfare;0.036443471908569336;0.04274582862854004;-0.006302356719970703;-0.1729351346046908;260;0.22988505747126442;1131;871;6.872679045092839;7
381;poland_warszawa_2017_saska-kepa.pb;greedy_welfare;0.03632211685180664;0.031835317611694336;0.004486799240112305;0.12352802173998656;554;0.37687074829931977;1470;916;4.835374149659864;5
