file;rule;profile_type;runtime;num_projects;num_projects_cat;num_voters;num_voters_cat;avg_vote_length;avg_vote_length_cat
poland_lodz_2020_retkinia-zachod-smulsko.pb;seqphragmen_res;ApprovalMultiProfile;0.040511369705200195;13;10;540;1000;3.8314814814814815;4
poland_lodz_2020_retkinia-zachod-smulsko.pb;maxwelfare_cost_res;ApprovalProfile;0.08305931091308594;13;10;2650;3000;2.66188679245283;3
poland_lodz_2020_retkinia-zachod-smulsko.pb;maxwelfare_cost_res;ApprovalMultiProfile;0.0425114631652832;13;10;540;1000;3.8314814814814815;4
poland_lodz_2020_radogoszcz.pb;maxwelfare_cost_res;ApprovalProfile;0.13505935668945312;17;20;3610;4000;3.092797783933518;3
poland_lodz_2020_radogoszcz.pb;maxwelfare_cost_res;ApprovalMultiProfile;0.057511329650878906;17;20;1091;1000;4.085242896425298;4
poland_lodz_2020_rokicie.pb;maxwelfare_cost_res;ApprovalProfile;0.05651211738586426;11;10;1960;2000;2.378061224489796;2
poland_lodz_2020_rokicie.pb;maxwelfare_cost_res;ApprovalMultiProfile;0.01699972152709961;11;10;317;0;3.5615141955835963;4
poland_lodz_2020_karolew-retkinia-wschod.pb;seqphragmen_res;ApprovalProfile;0.23302221298217773;26;30;3843;4000;2.654176424668228;3
poland_lodz_2020_karolew-retkinia-wschod.pb;seqphragmen_res;ApprovalMultiProfile;0.2900829315185547;26;30;1353;1000;3.845528455284553;4
poland_lodz_2020_rokicie.pb;mes_cost_res;ApprovalProfile;0.09951162338256836;11;10;1960;2000;2.378061224489796;2
poland_lodz_2020_rokicie.pb;mes_cost_res;ApprovalMultiProfile;0.018000364303588867;11;10;317;0;3.5615141955835963;4
poland_lodz_2020_ruda.pb;greed_cost_res;ApprovalProfile;0.06599950790405273;13;10;2322;2000;2.5120585701981053;3
poland_lodz_2020_ruda.pb;greed_cost_res;ApprovalMultiProfile;0.013002872467041016;13;10;421;0;3.7624703087885987;4
poland_lodz_2020_retkinia-zachod-smulsko.pb;mes_cost_res;ApprovalProfile;0.14606046676635742;13;10;2650;3000;2.66188679245283;3
poland_lodz_2020_retkinia-zachod-smulsko.pb;mes_cost_res;ApprovalMultiProfile;0.03400254249572754;13;10;540;1000;3.8314814814814815;4
poland_lodz_2020_karolew-retkinia-wschod.pb;mes_cost_res;ApprovalProfile;0.42755818367004395;26;30;3843;4000;2.654176424668228;3
poland_lodz_2020_karolew-retkinia-wschod.pb;mes_cost_res;ApprovalMultiProfile;0.20257019996643066;26;30;1353;1000;3.845528455284553;4
poland_lodz_2020_ruda.pb;maxwelfare_cost_res;ApprovalProfile;0.0670022964477539;13;10;2322;2000;2.5120585701981053;3
poland_lodz_2020_ruda.pb;maxwelfare_cost_res;ApprovalMultiProfile;0.0205075740814209;13;10;421;0;3.7624703087885987;4
poland_lodz_2020_ruda.pb;seqphragmen_res;ApprovalProfile;0.06950902938842773;13;10;2322;2000;2.5120585701981053;3
poland_lodz_2020_ruda.pb;seqphragmen_res;ApprovalMultiProfile;0.044001102447509766;13;10;421;0;3.7624703087885987;4
poland_lodz_2020_ruda.pb;mes_cost_res;ApprovalProfile;0.12950968742370605;13;10;2322;2000;2.5120585701981053;3
poland_lodz_2020_ruda.pb;mes_cost_res;ApprovalMultiProfile;0.028003215789794922;13;10;421;0;3.7624703087885987;4
poland_lodz_2020_srodmiescie-wschod.pb;greed_cost_res;ApprovalProfile;0.07250738143920898;16;20;2167;2000;2.6562067374250113;3
poland_lodz_2020_srodmiescie-wschod.pb;greed_cost_res;ApprovalMultiProfile;0.031003236770629883;16;20;697;1000;3.8034433285509324;4
poland_lodz_2020_srodmiescie-wschod.pb;maxwelfare_cost_res;ApprovalProfile;0.08451104164123535;16;20;2167;2000;2.6562067374250113;3
